id,email_subject,email_content,sender,sender_domain,has_link,has_attachment,urgency_level,suspicious_keywords,phishing_type,risk_label,explanation,source_url,source_type
T0014,Updated billing document available - Verification window open 03,請確認附件中的付款文件，逾期可能影響帳務流程。此範例不包含真實附件。 Scenario variation 3: this case is framed for school mailbox and mentions action before the end of the day. 信件利用財務流程與附件文件降低收件人的警覺。,財務文件通知,invoice-center.example.invalid,false,true,high,invoice;attached;payment;overdue;附件;付款文件,invoice_attachment,phishing,用發票、帳單或付款文件誘導開啟附件，可能導致憑證竊取或惡意程式感染。,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education
T0015,Review and sign pending agreement - Security update required 11,You received a protected agreement. The message urges review through a button that is removed in this dataset. Scenario variation 11: this case is framed for 個人信箱 and mentions action 於今日內. It creates curiosity by claiming the agreement is confidential or time-sensitive.,Secure Agreement,agreement-flow.example.invalid,true,true,high,document;signature;secure portal;expires;簽署;安全文件,document_signing,phishing,假冒文件簽署或共享文件通知，誘導登入偽造文件入口。,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor
T0016,Document ready for signature - Case review needed 01,A document has been shared with you for signature. Open the secure document portal and sign before it expires. This is a sanitized impersonation pattern. Scenario variation 1: this case is framed for email and mentions action within 2 hours. The lure imitates a document workflow and asks the user to sign in before seeing the file.,Document Workflow,document-sign.example.invalid,true,true,medium,document;signature;secure portal;expires;簽署;安全文件,document_signing,phishing,假冒文件簽署或共享文件通知，誘導登入偽造文件入口。,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor
T0017,Missed delivery: update shipping details - Case review needed 01,"A delivery attempt could not be completed because the shipping address requires confirmation. Please update the delivery preference before the package is returned. Safe sample: link removed. Scenario variation 1: this case is framed for email and mentions action within 2 hours. The lure mentions redelivery, address correction, a customs-like handling fee, or a package being returned.",Delivery Notification Center,delivery-update.example.invalid,true,false,medium,missed delivery;redelivery;small fee;shipping address;包裹;補繳運費,fake_delivery,phishing,假冒物流或配送通知，要求更新地址、重新配送或支付小額費用。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0018,Subscription renewal failed - 重新驗證通知 14,"Your subscription payment failed. Confirm your card details immediately to avoid account interruption. Safe dataset example; no payment page is included. Scenario variation 14: this case is framed for mobile browser and mentions action within 24 hours. It mixes a positive benefit with a penalty, such as losing a refund or service interruption.",Subscription Billing,renewal-billing.example.invalid,true,false,high,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams,government
T0019,文件簽署通知：請開啟安全文件 - Case review needed 08,You received a protected agreement. The message urges review through a button that is removed in this dataset. Scenario variation 8: this case is framed for mobile browser and mentions action within 24 hours. It creates curiosity by claiming the agreement is confidential or time-sensitive.,Secure Agreement,agreement-flow.example.invalid,true,true,high,document;signature;secure portal;expires;簽署;安全文件,document_signing,phishing,假冒文件簽署或共享文件通知，誘導登入偽造文件入口。,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education
T0020,訂單已出貨通知 - 官方管道確認 06,您的訂單已出貨，請至原購物平台訂單頁查看配送狀態。本通知不要求補繳運費。 Scenario variation 6: this case is framed for 校園信箱 and mentions action 於本週內. The safer path is to open the official app or manually type the official website address.,訂單通知,orders.example.tw,false,false,low,order shipped;official app;no extra fee;訂單;不要求付款,legitimate_delivery_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0021,Scan QR code to restore account access - 請立即確認 05,A new security policy requires mobile verification. Scan the displayed code before access expires. This sample describes the tactic without a live code. Scenario variation 5: this case is framed for 個人信箱 and mentions action 於今日內. It is designed for mobile scanning and may bypass desktop mail security cues.,Mailbox Verification,qr-verify.example.invalid,true,false,high,QR code;scan;authentication;verify;掃描;重新驗證,qr_phishing,phishing,將惡意連結藏在 QR code 中，繞過一般使用者對網址的檢查。,https://openphish.com/phishing_activity.html,threat_intel
T0022,Refund pending: verify payment method - Case review needed 01,A refund is pending but your payment method must be verified before it can be released. This sample removes the original link and uses a neutral sender. Scenario variation 1: this case is framed for email and mentions action within 2 hours. The message frames card verification as necessary to release a refund or keep a subscription active.,Refund Support,refund-service.example.invalid,true,false,medium,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://www.microsoft.com/en-us/security/business/security-101/what-is-phishing-email,security_vendor
T0023,Security notice: review recent account activity - Reference only 13,"This is a confirmation that your password was changed. If you did not make this change, visit the official app or type the official website address directly. This message does not request your password. Scenario variation 13: this case is framed for email and mentions action within 2 hours. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",Account Security,account.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.microsoft.com/en-us/security/business/security-101/what-is-phishing-email,security_vendor
T0024,Scheduled maintenance notice - Reference only 13,"Email services will undergo scheduled maintenance on Friday from 22:00 to 23:00. No user action is required. Scenario variation 13: this case is framed for email and mentions action within 2 hours. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",IT Service Desk,it.example.edu,false,false,low,maintenance;no action required;no login request;維護;不要求登入,legitimate_it_maintenance,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://cc.nkust.edu.tw/p/404-1025-99907.php,taiwan_education
T0025,Invoice attached for immediate review - Final reminder 09,請確認附件中的付款文件，逾期可能影響帳務流程。此範例不包含真實附件。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. 信件利用財務流程與附件文件降低收件人的警覺。,財務文件通知,invoice-center.example.invalid,false,true,high,invoice;attached;payment;overdue;附件;付款文件,invoice_attachment,phishing,用發票、帳單或付款文件誘導開啟附件，可能導致憑證竊取或惡意程式感染。,https://www.docusign.com/sites/default/files/protecting_your_organization_against_docusign_brand_impersonation_whitepaper.pdf,official_security_education
T0026,帳號安全通知：密碼已成功更新 - Official app notice 03,您的密碼已更新。若非本人操作，請自行開啟官方 App 或網站查看帳號活動。本通知不要求回覆帳密。 Scenario variation 3: this case is framed for school mailbox and mentions action before the end of the day. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。,帳戶安全中心,security.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://its.fcu.edu.tw/en/infosec/phishing-20241219,taiwan_education
T0027,Action required: your account will be locked - Security update required 11,"Your mailbox has exceeded the allowed storage limit. Messages may stop arriving unless you confirm your account ownership today. This demo email intentionally removes all active links. Scenario variation 11: this case is framed for 個人信箱 and mentions action 於今日內. It references a new device, a different city, or mailbox storage pressure to create uncertainty.",Microsoft 365 Support,microsoft365-alert.example.invalid,true,false,high,account locked;verify;unusual sign-in;suspension;立即驗證;帳號停用,account_lock,phishing,利用帳號停用、異常登入或安全驗證製造壓力，誘導使用者交出帳密或驗證碼。,https://www.itc.ntnu.edu.tw/wp-content/uploads/2021/07/UP03_antiphishing.pdf,taiwan_education
T0028,訂單已出貨通知 - Official app notice 09,"您的訂單已出貨，請至原購物平台訂單頁查看配送狀態。本通知不要求補繳運費。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",訂單通知,orders.example.tw,false,false,low,order shipped;official app;no extra fee;訂單;不要求付款,legitimate_delivery_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0029,Document ready for signature - 請立即確認 05,You received a protected agreement. The message urges review through a button that is removed in this dataset. Scenario variation 5: this case is framed for 個人信箱 and mentions action 於今日內. It creates curiosity by claiming the agreement is confidential or time-sensitive.,Secure Agreement,agreement-flow.example.invalid,true,true,high,document;signature;secure portal;expires;簽署;安全文件,document_signing,phishing,假冒文件簽署或共享文件通知，誘導登入偽造文件入口。,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor
T0030,中獎通知：請完成領獎資料確認 - 請立即確認 12,您已符合抽獎活動資格，請立即填寫個人資料並支付手續費完成領獎。此為安全示範案例。 Scenario variation 12: this case is framed for 校園信箱 and mentions action 於本週內. 內容以名額有限、最後通知或領獎期限誘導使用者快速提供資料。,領獎服務中心,claim-prize.example.invalid,true,false,high,winner;claim;processing fee;gift card;中獎;手續費,fake_prize,phishing,以中獎或獎勵為誘因，要求先支付手續費或提供個人與金融資料。,https://www.vac.gov.tw/vac_service/pingtung/cp-1616-189456-115.html,taiwan_government
T0031,最後提醒：您的包裹將退回寄件人 - Security update required 04,"A delivery attempt could not be completed because the shipping address requires confirmation. Please update the delivery preference before the package is returned. Safe sample: link removed. Scenario variation 4: this case is framed for business mailbox and mentions action this week. The lure mentions redelivery, address correction, a customs-like handling fee, or a package being returned.",Delivery Notification Center,delivery-update.example.invalid,true,false,medium,missed delivery;redelivery;small fee;shipping address;包裹;補繳運費,fake_delivery,phishing,假冒物流或配送通知，要求更新地址、重新配送或支付小額費用。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0032,Refund pending: verify payment method - Final reminder 09,您的退款申請已受理，請更新付款資料以完成退款流程。此為去品牌化、去連結的教學案例。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. 信件以退款、續約失敗或付款資料更新引導使用者輸入金融資料。,退款服務中心,refund-check.example.invalid,true,false,high,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://usa.kaspersky.com/resource-center/preemptive-safety/phishing-email,security_vendor
T0033,Review and sign pending agreement - Verification window open 03,您有一份待簽署文件，請於期限內開啟安全文件入口完成確認。此案例不包含真實文件或連結。 Scenario variation 3: this case is framed for school mailbox and mentions action before the end of the day. 內容假借合約、簽署或共享文件，誘導開啟偽造入口。,文件簽署系統,sign-doc.example.invalid,true,true,high,document;signature;secure portal;expires;簽署;安全文件,document_signing,phishing,假冒文件簽署或共享文件通知，誘導登入偽造文件入口。,https://cofense.com/knowledge-center-hub/email-security-resources/stop-qr-code-phishing-attacks,security_vendor
T0034,Your order has shipped - 資訊通知 04,Your order has shipped. You can check delivery status by opening the official shopping app and reviewing your order page. This notice does not ask for payment or personal data. Scenario variation 4: this case is framed for business mailbox and mentions action this week. 若使用者仍不確定，應透過既有官方管道查證，而不是使用信件中的捷徑。,Order Updates,orders.example.com,false,false,low,order shipped;official app;no extra fee;訂單;不要求付款,legitimate_delivery_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0035,帳號安全通知：密碼已成功更新 - Official app notice 15,您的密碼已更新。若非本人操作，請自行開啟官方 App 或網站查看帳號活動。本通知不要求回覆帳密。 Scenario variation 15: this case is framed for school mailbox and mentions action before the end of the day. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。,帳戶安全中心,security.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://its.fcu.edu.tw/en/infosec/phishing-20241219,taiwan_education
T0036,退款通知：請更新付款資料 - 請立即確認 12,您的退款申請已受理，請更新付款資料以完成退款流程。此為去品牌化、去連結的教學案例。 Scenario variation 12: this case is framed for 校園信箱 and mentions action 於本週內. 信件以退款、續約失敗或付款資料更新引導使用者輸入金融資料。,退款服務中心,refund-check.example.invalid,true,false,high,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://www.sunnybank.com.tw/net/Page/Smenu/387,bank_official
T0037,"Congratulations, your prize is waiting - Final reminder 09",您已符合抽獎活動資格，請立即填寫個人資料並支付手續費完成領獎。此為安全示範案例。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. 內容以名額有限、最後通知或領獎期限誘導使用者快速提供資料。,領獎服務中心,claim-prize.example.invalid,true,false,high,winner;claim;processing fee;gift card;中獎;手續費,fake_prize,phishing,以中獎或獎勵為誘因，要求先支付手續費或提供個人與金融資料。,https://www.vac.gov.tw/vac_service/pingtung/cp-1616-189456-115.html,taiwan_government
T0038,校園 IT 服務維護通知 - Official app notice 09,"校園系統將於週五晚間進行維護，期間服務可能短暫中斷。本通知不要求點擊連結或輸入帳密。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",校園 IT 服務,it.example.edu.tw,false,false,low,maintenance;no action required;no login request;維護;不要求登入,legitimate_it_maintenance,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.itc.ntnu.edu.tw/wp-content/uploads/2021/07/UP03_antiphishing.pdf,taiwan_education
T0039,帳號安全通知：密碼已成功更新 - 官方管道確認 12,您的密碼已更新。若非本人操作，請自行開啟官方 App 或網站查看帳號活動。本通知不要求回覆帳密。 Scenario variation 12: this case is framed for 校園信箱 and mentions action 於本週內. 若使用者仍不確定，應透過既有官方管道查證，而不是使用信件中的捷徑。,帳戶安全中心,security.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.itc.ntnu.edu.tw/wp-content/uploads/2021/07/UP03_antiphishing.pdf,taiwan_education
T0040,Subscription renewal failed - Final reminder 02,"Your subscription payment failed. Confirm your card details immediately to avoid account interruption. Safe dataset example; no payment page is included. Scenario variation 2: this case is framed for mobile browser and mentions action within 24 hours. It mixes a positive benefit with a penalty, such as losing a refund or service interruption.",Subscription Billing,renewal-billing.example.invalid,true,false,high,refund;payment method;card details;subscription;退款;付款資料,refund_or_payment,phishing,假冒退款、訂閱或付款失敗通知，誘導更新信用卡或付款資料。,https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams,government
T0041,帳號安全警示：請立即完成驗證 - 重新驗證通知 14,"Your mailbox has exceeded the allowed storage limit. Messages may stop arriving unless you confirm your account ownership today. This demo email intentionally removes all active links. Scenario variation 14: this case is framed for mobile browser and mentions action within 24 hours. It references a new device, a different city, or mailbox storage pressure to create uncertainty.",Mail Administrator,mail-quota.example.invalid,true,false,high,account locked;verify;unusual sign-in;suspension;立即驗證;帳號停用,account_lock,phishing,利用帳號停用、異常登入或安全驗證製造壓力，誘導使用者交出帳密或驗證碼。,https://support.microsoft.com/en-US/security/a-phish-story,official_security_education
T0042,Final notice to claim your reward - Verification window open 10,"You have been selected to receive a prize. To release it, complete the claim form and pay a small processing fee. Training sample only; no real claim link is included. Scenario variation 10: this case is framed for business mailbox and mentions action this week. The message says a reward is reserved but asks for personal details or a fee before release.",Prize Claim Office,reward-center.example.invalid,true,false,medium,winner;claim;processing fee;gift card;中獎;手續費,fake_prize,phishing,以中獎或獎勵為誘因，要求先支付手續費或提供個人與金融資料。,https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams,government
T0043,Missed delivery: update shipping details - 請立即確認 05,"Your package is ready for redelivery, but a small handling fee must be confirmed first. This case is paraphrased from public safety guidance and does not include a real payment URL. Scenario variation 5: this case is framed for 個人信箱 and mentions action 於今日內. It encourages the recipient to act before the end of the day instead of checking the official delivery app.",Parcel Service,parcel-alert.example.invalid,true,false,high,missed delivery;redelivery;small fee;shipping address;包裹;補繳運費,fake_delivery,phishing,假冒物流或配送通知，要求更新地址、重新配送或支付小額費用。,https://usa.kaspersky.com/resource-center/preemptive-safety/phishing-email,security_vendor
T0044,物流通知：包裹配送失敗需補件 - Security update required 11,"Your package is ready for redelivery, but a small handling fee must be confirmed first. This case is paraphrased from public safety guidance and does not include a real payment URL. Scenario variation 11: this case is framed for 個人信箱 and mentions action 於今日內. It encourages the recipient to act before the end of the day instead of checking the official delivery app.",Parcel Service,parcel-alert.example.invalid,true,false,high,missed delivery;redelivery;small fee;shipping address;包裹;補繳運費,fake_delivery,phishing,假冒物流或配送通知，要求更新地址、重新配送或支付小額費用。,https://usa.kaspersky.com/resource-center/preemptive-safety/phishing-email,security_vendor
T0045,帳號安全通知：密碼已成功更新 - Official app notice 09,"您的密碼已更新。若非本人操作，請自行開啟官方 App 或網站查看帳號活動。本通知不要求回覆帳密。 Scenario variation 9: this case is framed for school mailbox and mentions action before the end of the day. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",帳戶安全中心,security.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.microsoft.com/en-us/security/business/security-101/what-is-phishing-email,security_vendor
T0046,Invoice attached for immediate review - 請立即確認 05,An updated billing statement is available. Open the attached document to prevent payment delays. This is a sanitized case with the attachment removed. Scenario variation 5: this case is framed for 個人信箱 and mentions action 於今日內. It asks the recipient to open a file instead of viewing the invoice from a known vendor portal.,Vendor Payments,vendor-pay.example.invalid,false,true,high,invoice;attached;payment;overdue;附件;付款文件,invoice_attachment,phishing,用發票、帳單或付款文件誘導開啟附件，可能導致憑證竊取或惡意程式感染。,https://blogs.cisco.com/security/talos/hook-line-sinker,security_vendor
T0047,Security notice: review recent account activity - Reference only 07,"This is a confirmation that your password was changed. If you did not make this change, visit the official app or type the official website address directly. This message does not request your password. Scenario variation 7: this case is framed for email and mentions action within 2 hours. 此通知沒有要求輸入帳密、付款、下載附件或掃描 QR Code。",Account Security,account.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://its.fcu.edu.tw/en/infosec/phishing-20241219,taiwan_education
T0048,Your order has shipped - Reference only 13,"Your order has shipped. You can check delivery status by opening the official shopping app and reviewing your order page. This notice does not ask for payment or personal data. Scenario variation 13: this case is framed for email and mentions action within 2 hours. The notice does not ask the recipient to reply with credentials, pay fees, download files, or scan a QR code.",Order Updates,orders.example.com,false,false,low,order shipped;official app;no extra fee;訂單;不要求付款,legitimate_delivery_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://consumer.ftc.gov/consumer-alerts/2023/12/fake-shipping-notification-emails-and-text-messages-what-you-need-know-holiday-season,government
T0049,校園 IT 服務維護通知 - 官方管道確認 12,校園系統將於週五晚間進行維護，期間服務可能短暫中斷。本通知不要求點擊連結或輸入帳密。 Scenario variation 12: this case is framed for 校園信箱 and mentions action 於本週內. 若使用者仍不確定，應透過既有官方管道查證，而不是使用信件中的捷徑。,校園 IT 服務,it.example.edu.tw,false,false,low,maintenance;no action required;no login request;維護;不要求登入,legitimate_it_maintenance,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://www.itc.ntnu.edu.tw/wp-content/uploads/2021/07/UP03_antiphishing.pdf,taiwan_education
T0050,帳號安全通知：密碼已成功更新 - 官方管道確認 06,您的密碼已更新。若非本人操作，請自行開啟官方 App 或網站查看帳號活動。本通知不要求回覆帳密。 Scenario variation 6: this case is framed for 校園信箱 and mentions action 於本週內. The safer path is to open the official app or manually type the official website address.,帳戶安全中心,security.example.com,false,false,low,official app;no password request;confirmation;官方 App;不要求回覆,legitimate_security_notice,normal,此案例用於正常信件對照：不要求輸入密碼、付款或下載附件，並建議使用者自行開啟官方管道確認。,https://support.microsoft.com/en-US/security/a-phish-story,official_security_education
